issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,fetch_error,page_title
1,GSA.gov,https://www.gsa.gov/,https://www.gsa.gov/,200,true,false,128,true,1988,126,49,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r78,,true,1362,7,30,41,image-redundant-alt;landmark-main-is-top-level;landmark-no-duplicate-main;landmark-unique;region,,,Home | GSA
1,GSA.gov,https://www.gsa.gov/about-us/newsroom/news-releases,https://www.gsa.gov/about-us/newsroom/news-releases,200,true,false,36,true,1869,127,3,42,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1123,2,3,38,region,,,News releases | GSA
1,GSA.gov,https://www.gsa.gov/about-us/newsroom/news-releases/gsa-and-cohesity-partnership-delivers-discounts-for-cybersecurity-protections-01082026,https://www.gsa.gov/about-us/newsroom/news-releases/gsa-and-cohesity-partnership-delivers-discounts-for-cybersecurity-protections-01082026,200,true,false,63,true,1707,118,7,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,999,2,6,44,region,,,GSA and Cohesity Partnership Delivers Discounts for Cybersecurity Protections | GSA
1,GSA.gov,https://www.gsa.gov/website-information/accessibility-statement?footer=gsa,https://www.gsa.gov/website-information/accessibility-statement?footer=gsa,200,true,false,28,true,1913,131,6,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1145,2,3,43,region,,,Accessibility statement | GSA
1,GSA.gov,https://www.gsa.gov/about-us/mission-and-background?topnav=about-us,https://www.gsa.gov/about-us/mission-and-background?topnav=about-us,200,true,false,100,true,1722,129,5,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1037,3,3,43,landmark-unique;region,,,Mission and background | GSA
1,GSA.gov,https://www.gsa.gov/travel/travel-and-lodging-services/travel-category-schedule?topnav=travel,https://www.gsa.gov/travel/travel-and-lodging-services/travel-category-schedule?topnav=travel,200,true,false,65,true,1802,140,7,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1097,2,5,43,region,,,Travel category schedule | GSA
1,GSA.gov,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives/integrated-award-environment/iae-systems-information-kit/unique-entity-identifier-update,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives/integrated-award-environment/iae-systems-information-kit/unique-entity-identifier-update,200,true,false,74,true,1974,136,4,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1193,2,5,43,region,,,Unique Entity Identifier update | GSA
1,GSA.gov,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives,200,true,false,58,true,1619,117,6,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,954,2,4,44,region,,,FAS initiatives | GSA
1,GSA.gov,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract?topnav=sell-to-government,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract?topnav=sell-to-government,200,true,false,64,true,1781,130,9,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1085,2,4,43,region,,,Step 2: Compete for a contract | GSA
1,GSA.gov,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract/certify-as-a-small-business,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract/certify-as-a-small-business,200,true,false,29,true,1864,129,10,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1135,2,12,43,region,,,Certify as a small business | GSA
1,GSA.gov,https://www.gsa.gov/policy-regulations/policy/federal-advisory-committee-management?topnav=policy-regulations,https://www.gsa.gov/policy-regulations/policy/federal-advisory-committee-management?topnav=policy-regulations,200,true,false,64,true,1718,122,5,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1030,2,3,43,region,,,Federal Advisory Committee Act (FACA) Management Overview | GSA
1,GSA.gov,https://www.gsa.gov/real-estate/explore-historic-buildings?topnav=real-estate,https://www.gsa.gov/real-estate/explore-historic-buildings?topnav=real-estate,200,true,false,64,true,1897,150,6,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1219,2,4,43,region,,,Explore historic buildings | GSA
1,GSA.gov,https://www.gsa.gov/real-estate/areawide-public-utility-contracts,https://www.gsa.gov/real-estate/areawide-public-utility-contracts,200,true,false,71,true,2002,143,8,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,true,1221,2,5,43,region,,,GSA areawide public utility contracts | GSA
