issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,fetch_error,page_title
18,Government of Canada,https://www.canada.ca/en/revenue-agency/services/e-services/cra-login-services.html,https://www.canada.ca/en/revenue-agency/services/e-services/cra-login-services.html,200,true,false,3180,true,668,44,45,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Sign in to your CRA account - Canada.ca
18,Government of Canada,https://www.canada.ca/en/revenue-agency.html,https://www.canada.ca/en/revenue-agency.html,200,true,false,3148,true,969,88,54,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Canada Revenue Agency (CRA) - Canada.ca
18,Government of Canada,https://www.canada.ca/en/employment-social-development/services/my-account.html,https://www.canada.ca/en/employment-social-development/services/my-account.html,200,true,false,2118,true,602,46,47,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,My Service Canada Account (MSCA) - Canada.ca
18,Government of Canada,https://www.canada.ca/en.html,https://www.canada.ca/en.html,200,true,false,3160,true,777,73,69,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Home - Canada.ca
18,Government of Canada,https://www.canada.ca/en/employment-social-development/services/my-account/dashboard.html,https://www.canada.ca/en/employment-social-development/services/my-account/dashboard.html,404,false,false,1168,true,314,32,48,52,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61,,false,0,0,0,0,,axe.analyze is not a function,,Not Found - Canada.ca
18,Government of Canada,https://redecoupage-redistribution-2022.ca/com/qc/prop/index_e.aspx,https://redecoupage-redistribution-2022.ca/com/qc/prop/index_e.aspx,200,true,false,432,true,76,10,1,67,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r4;https://alfa.siteimprove.com/rules/sia-r73,,false,0,0,0,0,,axe.analyze is not a function,,Proposal &#8211; Quebec - Federal Electoral Districts Redistribution
18,Government of Canada,https://apps.cra-arc.gc.ca/ebci/rhpd/prot/welcome.action,https://apps.cra-arc.gc.ca/ebci/rhpd/prot/welcome.action,200,true,false,351,true,156,15,4,72,https://alfa.siteimprove.com/rules/sia-r4;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78;https://alfa.siteimprove.com/rules/sia-r87,,false,0,0,0,0,,axe.analyze is not a function,,
18,Government of Canada,https://www.canada.ca/en/services/benefits.html,https://www.canada.ca/en/services/benefits.html,200,true,false,3168,true,680,63,47,47,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Benefits - Canada.ca
18,Government of Canada,https://www.canada.ca/en/services.html,https://www.canada.ca/en/services.html,200,true,false,3108,true,936,86,47,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Government of Canada services - Canada.ca
18,Government of Canada,https://apps.cra-arc.gc.ca/ebci/hacc/signon.html,https://apps.cra-arc.gc.ca/ebci/hacc/signon.html,404,false,false,329,true,156,15,4,72,https://alfa.siteimprove.com/rules/sia-r4;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78;https://alfa.siteimprove.com/rules/sia-r87,,false,0,0,0,0,,axe.analyze is not a function,,Error 404--Not Found
