issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,duplicate_findings,fetch_error,page_title
28,USA Cities over 100k,https://www.nyc.gov/,https://www.nyc.gov/main,200,true,true,10687,true,1131,44,1,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73,,true,858,2,56,47,aria-valid-attr-value;heading-order,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,84,8,8,0,0,0,labels-and-names/aria-dialog-name;labels-and-names/frame-title-unique;landmarks/region;navigable/heading-order;text-alternatives/image-alt-words,,15,,Official Website of New York City Government - nyc.gov
28,USA Cities over 100k,https://lacity.gov/,https://lacity.gov/,403,false,false,33775,true,924,126,8,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r40;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r78;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,792,3,8,35,aria-hidden-focus;landmark-unique,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,88,4,4,0,0,0,aria/aria-hidden-focus;aria/presentational-children-focusable;labels-and-names/frame-title;landmarks/region,,100,,Access Denied
28,USA Cities over 100k,http://www.queensbp.org/,http://www.queensbp.org/,,false,false,79,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
28,USA Cities over 100k,https://www.houstontx.gov/,https://www.houstontx.gov/,200,true,false,18265,true,1825,193,6,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r70;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r79,,true,1084,13,4,46,aria-hidden-focus;landmark-one-main;object-alt;region,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,70,22,22,0,0,0,adaptable/aria-required-parent;adaptable/list-children;aria/aria-hidden-focus;distinguishable/color-contrast;distinguishable/link-in-text-block;keyboard-accessible/focus-order;labels-and-names/label-content-mismatch;landmarks/landmark-main;landmarks/region;text-alternatives/object-alt,,184,,City of Houston eGovernment Center
28,USA Cities over 100k,http://manhattanbp.nyc.gov/html/home/home.shtml,https://www.manhattanbp.nyc.gov/html/home/home.shtml,404,false,true,12946,true,569,31,27,54,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,432,2,0,50,link-name,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,90,2,2,0,0,0,navigable/link-name,,21,,
28,USA Cities over 100k,https://www.phoenix.gov/,https://www.phoenix.gov/,200,true,false,21301,true,2559,93,39,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,1733,2,52,36,color-contrast;label-title-only,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,80,12,12,0,0,0,aria/aria-hidden-focus;distinguishable/color-contrast;labels-and-names/duplicate-id-aria;landmarks/region,,70,,Home | City of Phoenix
28,USA Cities over 100k,https://phila.gov/,https://www.phila.gov/,200,true,true,12487,true,1744,213,14,54,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r2;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r78,,true,1180,52,8,53,image-alt;landmark-one-main;landmark-unique;list;region,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,85,7,7,0,0,0,adaptable/list-children;aria/aria-allowed-attr;keyboard-accessible/nested-interactive;labels-and-names/label-content-mismatch;landmarks/landmark-main;landmarks/region,,200,,City of Philadelphia
28,USA Cities over 100k,http://bronxboropres.nyc.gov/,https://bronxboropres.nyc.gov/,200,true,true,16066,true,776,25,51,49,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r47;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,1029,6,1,41,link-name;meta-viewport;region,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,85,7,6,1,0,0,distinguishable/meta-viewport;navigable/link-name;navigable/page-has-heading-one,,16,,The Office of The Bronx Borough President | Vanessa L. Gibson
28,USA Cities over 100k,https://www.sa.gov/,https://www.sa.gov/Home,200,true,true,11845,true,1165,15,9,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r83,,true,786,2,23,39,heading-order;landmark-unique,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,89,3,3,0,0,0,landmarks/landmark-unique;landmarks/region;navigable/heading-order,,9,,Home  - City of San Antonio
28,USA Cities over 100k,https://www.sandiego.gov/,https://www.sandiego.gov/,200,true,false,16076,true,1943,92,59,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78,,true,1121,2,5,44,color-contrast,,false,0,0,0,0,0,0,,"Failed to launch the browser process!
[0225/205101.115095:FATAL:zygote_host_impl_linux.cc(126)] No usable sandbox! Update your kernel or see https://chromium.googlesource.com/chromium/src/+/main/docs/linux/suid_sandbox_development.md for more information on developing with the SUID sandbox. If you want to live dangerously and need an immediate workaround, you can try using --no-sandbox.


TROUBLESHOOTING: https://pptr.dev/troubleshooting
",true,81,11,11,0,0,0,aria/aria-allowed-role;landmarks/banner-is-top-level;landmarks/contentinfo-is-top-level;landmarks/region;text-alternatives/image-alt-words,,71,,City of San Diego Official Website
