issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
51,California,https://ca.gov/,https://www.ca.gov/,200,true,true,8138,false,0,0,0,0,,Skipped (not requested),true,642,0,11,44,,,true,2059,26,16,10,19,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_visible;figure_label_exists;heading_markup_misuse;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;text_contrast_sufficient;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),10,,California State Portal | CA.gov
51,California,https://ca.gov/website-accessibility-certification.html,https://www.ca.gov/website-accessibility-certification.html,200,true,true,4946,false,0,0,0,0,,Skipped (not requested),true,415,0,0,44,,,true,1287,12,8,4,10,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_visible;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),4,,Web Accessibility Certification | CA.gov
51,California,https://ca.gov/legal/accessibility/,https://www.ca.gov/legal/accessibility/,200,true,true,5060,false,0,0,0,0,,Skipped (not requested),true,614,0,0,44,,,true,1781,12,9,3,10,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Accessibility | CA.gov
51,California,https://ca.gov/services/,https://www.ca.gov/services/,200,true,true,5122,false,0,0,0,0,,Skipped (not requested),true,570,1,4,44,landmark-unique,,true,1763,17,14,3,10,0,aria_complementary_labelled;aria_landmark_name_unique;element_attribute_deprecated;element_tabbable_visible;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Services | CA.gov
51,California,https://ca.gov/contact/,https://www.ca.gov/contact/,200,true,true,4794,false,0,0,0,0,,Skipped (not requested),true,377,0,3,44,,,true,1189,11,8,3,9,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_visible;style_background_decorative;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Contact | CA.gov
51,California,https://ca.gov/support/,https://www.ca.gov/support/,200,true,true,5050,false,0,0,0,0,,Skipped (not requested),true,550,0,3,43,,,true,1990,21,16,5,19,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;style_background_decorative;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),5,,Get help | CA.gov
51,California,https://ca.gov/about/about-this-website/,https://www.ca.gov/about/about-this-website/,200,true,true,4751,false,0,0,0,0,,Skipped (not requested),true,375,0,0,44,,,true,1153,10,7,3,8,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_visible;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,About this website | CA.gov
51,California,https://ca.gov/about/sitemap/,https://www.ca.gov/about/sitemap/,200,true,true,5003,false,0,0,0,0,,Skipped (not requested),true,552,0,3,45,,,true,1720,11,8,3,9,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_visible;style_background_decorative;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Sitemap | CA.gov
51,California,https://ca.gov/departments/176/services/52/,https://www.ca.gov/departments/176/services/52/,200,true,true,4720,false,0,0,0,0,,Skipped (not requested),true,508,0,0,44,,,true,1738,13,10,3,11,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Apply for Birth Certificate | CA.gov
51,California,https://ca.gov/departments/193/services/15/,https://www.ca.gov/departments/193/services/15/,200,true,true,4851,false,0,0,0,0,,Skipped (not requested),true,469,0,0,44,,,true,1567,12,9,3,10,0,aria_complementary_labelled;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;style_color_misuse;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Traffic tickets | CA.gov
