issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
54,Nova Scotia,https://novascotia.ca/,https://www.novascotia.ca/,200,true,true,11844,true,501,36,23,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r78,,true,569,2,24,44,region,,true,1572,22,22,0,21,0,aria_attribute_valid;aria_content_in_landmark;aria_role_redundant;element_id_unique;element_tabbable_unobscured;element_tabbable_visible;form_submit_button_exists;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;target_spacing_sufficient;text_sensory_misuse,,false,0,0,0,0,0,0,,"page.addScriptTag: Refused to execute inline script because it violates the following Content Security Policy directive: ""script-src 'self' https://novascotia.ca https://*.googletagmanager.com www.google-analytics.com https://static.cloudflareinsights.com"". Either the 'unsafe-inline' keyword, a hash ('sha256-iLB/qGn2fKTfTYFKNKTMDW4mWOq+TwpFIWKi5guSmvk='), or a nonce ('nonce-...') is required to enable inline execution.
",true,189,8,75,1,QW-ACT-R25;QW-ACT-R37,,36,,Government of Nova Scotia
54,Nova Scotia,https://novascotia.ca/programs-and-services,https://novascotia.ca/programs-and-services,,false,false,10496,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
54,Nova Scotia,https://novascotia.ca/programs-and-services/registry-joint-stock-companies,https://www.novascotia.ca/programs-and-services,200,true,true,15603,true,1082,157,23,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r53,,true,1309,1,17,46,heading-order,,true,4467,7,7,0,8,0,aria_attribute_valid;aria_role_redundant;element_tabbable_visible;form_submit_button_exists;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,"page.addScriptTag: Refused to execute inline script because it violates the following Content Security Policy directive: ""script-src 'self' https://novascotia.ca https://*.googletagmanager.com www.google-analytics.com https://static.cloudflareinsights.com"". Either the 'unsafe-inline' keyword, a hash ('sha256-iLB/qGn2fKTfTYFKNKTMDW4mWOq+TwpFIWKi5guSmvk='), or a nonce ('nonce-...') is required to enable inline execution.
",true,515,8,195,1,QW-ACT-R25;QW-ACT-R37,,158,,Programs and Services - Government of Nova Scotia
54,Nova Scotia,https://novascotia.ca/budget/,https://novascotia.ca/budget/,200,true,false,39909,true,1466,15,15,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66,,true,661,2,14,46,button-name;landmark-unique,,true,2004,23,18,5,14,0,aria_attribute_valid;aria_navigation_label_unique;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;label_content_exists;style_color_misuse;style_highcontrast_visible;text_sensory_misuse,,true,89,3,3,0,0,0,keyboard-accessible/tabindex;labels-and-names/button-name,,false,0,0,0,0,,QualWeb evaluation returned no report,13,,"Budget 2026 to 2027 - Government of Nova Scotia, Canada"
54,Nova Scotia,https://novascotia.ca/contact-us,https://novascotia.ca/contact-us,,false,false,10495,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
54,Nova Scotia,https://novascotia.ca/copyright,https://www.novascotia.ca/copyright,200,true,true,6589,true,244,9,16,52,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18,,true,190,0,14,47,,,true,567,6,6,0,6,0,aria_attribute_valid;aria_role_redundant;element_tabbable_visible;form_submit_button_exists;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,"page.addScriptTag: Refused to execute inline script because it violates the following Content Security Policy directive: ""script-src 'self' https://novascotia.ca https://*.googletagmanager.com www.google-analytics.com https://static.cloudflareinsights.com"". Either the 'unsafe-inline' keyword, a hash ('sha256-iLB/qGn2fKTfTYFKNKTMDW4mWOq+TwpFIWKi5guSmvk='), or a nonce ('nonce-...') is required to enable inline execution.
",true,87,8,42,1,QW-ACT-R25;QW-ACT-R37,,11,,Copyright - Government of Nova Scotia
54,Nova Scotia,https://novascotia.ca/government,https://novascotia.ca/government,,false,false,10499,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
54,Nova Scotia,https://novascotia.ca/news/,https://novascotia.ca/news/,,false,false,10493,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
54,Nova Scotia,https://novascotia.ca/privacy,https://novascotia.ca/privacy,,false,false,10496,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
54,Nova Scotia,https://novascotia.ca/residential-tenancies-tenants-and-landlords/,https://novascotia.ca/residential-tenancies-tenants-and-landlords/,,false,false,10494,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
